ID	BAT_3	BAT_4	BAT_cold_3	BAT_cold_4	BAT_1	BAT_2	BAT_cold_1	BAT_cold_2	WAT_cold_1	WAT_cold_2	WAT_cold_3	WAT_cold_4	WAT_1	WAT_2	WAT_3	WAT_4
ENSMUSG00000100763	1	1	0	0	6	3	1	1	0	1	4	11	3	3	3	2
ENSMUSG00000106077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029288	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000081946	0	0	1	0	1	0	0	0	0	2	1	0	0	0	1	0
ENSMUSG00000062064	0	0	2	2	0	0	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000103431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020230	1113	987	840	785	1091	961	629	868	880	1262	1356	1372	1480	1363	1271	1179
ENSMUSG00000019894	2	1	2	1	3	3	0	1	4	66	76	87	97	64	73	71
ENSMUSG00000077620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076477	0	0	0	0	0	0	0	0	0	1	0	1	4	1	2	0
ENSMUSG00000096061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023882	180	148	186	162	181	171	145	224	257	439	349	454	493	455	405	426
ENSMUSG00000051732	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000102647	2	1	0	0	1	3	0	0	2	3	0	0	2	6	0	1
ENSMUSG00000092228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052911	9168	8473	5830	5520	9698	9970	4565	6035	10463	9123	9546	10716	8340	11093	8701	8860
ENSMUSG00000098394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094621	0	0	0	0	0	0	0	0	1	12	10	14	27	24	13	16
ENSMUSG00000090740	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104951	84	111	206	203	158	156	91	113	527	218	280	370	251	243	190	119
ENSMUSG00000038417	1278	1219	1495	1474	1364	1329	1110	1415	1972	1825	1997	2079	1846	1844	1900	1752
ENSMUSG00000104673	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000078235	1	0	0	0	1	0	0	0	0	2	2	2	1	0	0	0
ENSMUSG00000028233	1506	1487	1086	1010	1596	1696	789	1046	1591	2419	2201	2387	2646	2448	2334	2195
ENSMUSG00000091672	15	8	16	10	22	11	7	12	0	1	2	5	1	2	3	7
ENSMUSG00000025574	201	186	123	93	254	252	73	112	376	1461	942	1208	1744	1251	1552	911
ENSMUSG00000003154	2264	1978	1609	1544	2290	2145	1165	1590	2553	3806	3350	3711	5043	4422	4244	3878
ENSMUSG00000090122	15	1	0	1	20	4	0	3	39	25	23	3	12	31	24	9
ENSMUSG00000000881	673	605	748	684	716	758	567	824	536	2121	1981	2020	2085	1499	1512	1516
ENSMUSG00000045479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048483	1	0	0	0	1	0	0	0	0	1	1	0	0	0	5	1
ENSMUSG00000015759	4113	3502	4801	4404	4331	4287	3815	4498	5950	4574	5108	5591	5015	4582	4578	5566
